id,knowledge,news_source,news,ideology,engagement,age,education,female
1,50,Conservative,63,39.3,79.5,44.4,14,Yes
3,45,None,49,75.7,61,45.7,12,Yes
4,26,None,22,23.5,66.8,39.3,15,Yes
5,79,None,54,69.5,80.8,59.5,15,No
6,31,Conservative,65,18,99.6,43.8,12,Yes
7,22,Conservative,63,33.2,37.4,29.6,10,No
8,93,Conservative,50,29.7,88.6,29.6,16,No
9,23,None,12,52.5,82.4,45.1,12,Yes
12,35,Conservative,29,54,68.5,80.7,12,Yes
13,44,None,34,28.3,69.4,18.3,10,No
17,79,None,66,41,83.8,37.7,15,Yes
18,58,Conservative,66,11,78.3,30.8,16,Yes
24,45,None,6,53.3,64.5,83.1,9,Yes
25,62,Conservative,58,48.4,98.3,67,16,No
26,71,Conservative,49,17.3,90.1,49.9,12,Yes
28,41,None,6,41.8,83.8,41.8,12,Yes
29,62,None,72,42.7,75.8,72.8,13,Yes
31,49,None,38,49.9,83.2,66.8,18,No
32,84,Comedy,27,64.9,88.1,45.4,14,Yes
35,35,Conservative,34,26.9,64.3,52.1,16,Yes
38,76,Conservative,51,28.2,67.8,65.6,17,Yes
39,57,None,89,82.5,87.4,50.7,16,Yes
41,57,None,48,44.4,69.7,62.1,15,Yes
45,36,None,22,20,85.2,28.4,13,Yes
47,31,None,6,33.6,62.8,51.8,14,Yes
49,62,None,16,39.8,85.9,53,15,No
50,62,Conservative,56,34.9,59.3,53.8,12,Yes
51,79,Comedy,83,43.1,93.5,62,15,No
52,36,Conservative,44,55.4,73.1,43.4,13,Yes
53,35,Comedy,9,47.5,38.9,22.8,12,No
54,37,Conservative,68,13,51.9,80.2,8,No
56,97,Conservative,78,56.8,78.1,75.1,13,No
57,84,Conservative,67,31.4,64.5,64.8,12,No
58,61,None,96,52,76.1,83.2,12,Yes
59,61,Conservative,74,39.7,45.6,69.9,15,Yes
60,58,Conservative,58,45.5,31.9,26.6,16,Yes
62,57,Conservative,28,37.4,60,56.3,14,No
64,49,None,17,84.2,27.2,24.9,8,No
66,39,None,37,47.9,78.2,73.9,15,No
67,54,None,23,48.9,29.8,43.4,12,No
68,53,None,63,79.5,93.6,64.7,12,No
69,49,Conservative,41,21,79.7,91.4,16,Yes
70,92,None,42,53.1,71.1,65.3,16,No
74,45,Comedy,6,57,81.1,19.1,14,No
75,36,Conservative,39,6,16.7,61.3,15,No
79,49,None,6,50.5,38.7,60.6,16,No
80,48,None,23,56.3,83.1,68.3,13,Yes
81,66,None,45,29.2,57.7,65.1,9,No
82,57,Conservative,84,57.4,87.9,84.2,18,Yes
89,54,None,30,40.1,79.4,52.3,12,Yes
90,26,None,35,47.1,38.2,49.3,13,Yes
98,45,Conservative,38,26.6,74,74.7,14,Yes
99,14,None,6,28,27.4,18.8,15,No
101,58,None,28,53.2,80.8,77,12,Yes
102,9,None,27,32.2,56.1,20.7,11,Yes
104,22,None,6,68,53.1,27.6,12,Yes
107,22,None,27,24.1,45.3,44.6,10,No
109,44,None,34,42.7,99.1,48.4,12,Yes
110,84,None,54,29.8,67.2,78.9,16,No
112,32,None,30,89.1,62,33.1,12,Yes
114,40,None,9,36.5,91.2,58.6,12,No
117,58,Conservative,68,43.1,54.2,67.1,12,Yes
120,39,Conservative,45,38,74.9,76.4,14,No
121,49,Conservative,56,16.8,80.7,37.8,15,No
124,39,None,32,22.3,59,43.8,16,Yes
127,76,Conservative,100,53.4,83.6,87.4,18,Yes
128,57,None,68,38.7,79.4,23.1,15,Yes
129,57,Conservative,45,6.9,50.4,18.5,13,No
130,96,None,36,59,79.4,62.4,16,No
132,19,None,36,29.6,63.2,70.8,16,Yes
133,52,None,23,20.3,47.3,65,18,No
135,97,None,19,54.7,59.6,78.4,11,No
138,97,Conservative,20,27.3,63.8,60.5,17,No
139,19,None,8,42,82,34.2,12,Yes
140,14,None,8,36.4,47.1,25.9,15,Yes
142,39,Comedy,48,27.4,79.5,51,12,Yes
143,67,None,24,68.2,98.6,48.3,18,No
144,92,Conservative,63,52,71.5,82.5,18,No
149,22,Conservative,59,14.2,67,75.8,12,Yes
150,83,None,35,67.1,80.6,41.2,18,Yes
152,36,None,22,98.3,86.4,19.4,15,No
153,31,Conservative,50,73.4,31.3,18.5,12,Yes
154,49,None,58,42.3,81.7,40.2,15,Yes
155,39,None,6,17.7,67.9,50.4,14,Yes
156,31,Conservative,59,56.7,93.8,67.2,12,Yes
159,23,Conservative,21,50.3,45.5,30.4,12,No
160,79,Comedy,16,66.2,93.1,28.4,17,Yes
161,36,Conservative,45,47.7,95.9,78.1,16,No
164,66,None,6,25.8,68.8,46.3,16,Yes
165,45,None,6,47.9,86.4,42.8,18,Yes
167,40,None,20,55.9,83.5,40,16,No
168,84,None,53,48,80,65.9,18,Yes
172,88,Conservative,47,39.5,55.4,58.2,13,No
175,63,None,69,69.3,70.4,50.5,14,No
176,26,None,21,28.9,72.2,42.1,14,No
178,41,Conservative,40,40.1,12.9,37.9,12,No
180,93,Conservative,28,6,71.7,52.8,17,Yes
182,70,None,26,24.2,52.7,50.8,12,No
183,40,None,40,19,51.2,42.2,10,Yes
184,71,None,6,36,69.5,48.1,13,No
185,23,None,18,61,70.6,44,12,Yes
186,23,Conservative,42,30.9,71.8,24.2,12,Yes
187,19,None,16,90.4,67.5,30.3,12,Yes
188,18,None,15,8,58.3,58.5,11,No
190,85,Conservative,50,27.3,82.1,65.6,16,No
191,49,None,35,28.9,80,65,12,No
192,49,None,13,48.5,83.7,55.6,13,No
193,70,Conservative,72,48.3,91.3,39.6,14,Yes
194,83,None,40,51.2,78.3,48.5,18,Yes
195,49,None,25,40,24.5,85.6,13,Yes
197,54,None,19,40.2,14.7,20,12,Yes
198,36,Conservative,66,76.5,78.7,37.8,12,No
199,40,None,17,14,43.4,53,12,No
200,63,None,48,71.9,93.9,44.9,16,No
202,31,Conservative,38,35,66.3,21.4,16,Yes
203,53,None,6,49.1,52.5,37.4,12,No
204,97,Comedy,62,65.3,86,26.6,16,No
205,66,None,41,53.1,79.1,43.6,15,No
206,45,Conservative,29,24.4,55.5,45.5,12,No
207,80,None,33,55.9,93.1,58.8,18,Yes
208,88,None,70,39.3,60.9,25.6,15,No
209,53,None,22,24.5,68.1,63.4,16,No
211,48,None,77,65.2,93.9,58.6,12,Yes
212,67,Conservative,41,38.2,29.6,84.3,15,No
214,36,None,26,28.3,72.1,39.6,13,Yes
215,58,None,50,57.4,78.3,46.5,17,Yes
217,84,Conservative,78,57.2,79.4,45.8,13,Yes
220,62,Conservative,37,7.1,73.3,80.5,11,Yes
222,88,None,20,65.4,67,65,16,No
223,53,Conservative,74,62.5,45.1,32.6,16,Yes
225,58,Comedy,15,36.6,42.9,43.4,15,Yes
226,70,Comedy,28,46.5,78.3,48.6,13,Yes
227,67,Conservative,69,36.4,40.5,29.3,13,No
230,78,None,58,37.8,94.9,80.4,16,No
232,44,None,49,52.8,76.6,40.1,13,No
234,40,None,35,27.6,42.8,36.7,13,Yes
235,58,None,30,45.6,77.1,50.8,13,Yes
238,54,None,45,32.5,93.1,37.2,14,Yes
240,57,None,29,26.7,85.4,70.3,13,No
243,75,Conservative,86,67.3,87.3,49.5,12,Yes
244,58,None,64,31.9,56.8,73.1,12,Yes
245,26,Comedy,52,50.8,65.4,21.4,13,No
246,32,Conservative,36,42,63.5,55.1,12,No
248,23,None,10,21,19.4,50,15,No
254,39,None,57,42.3,83,35.8,16,Yes
256,96,Conservative,94,55.1,77.1,29.6,16,No
258,45,Conservative,41,21.7,78.2,33.7,13,Yes
260,35,Conservative,47,32.3,83,80.2,17,No
262,76,Conservative,64,15.4,91.2,74.6,17,No
263,98,Conservative,98,30.4,66.7,73.6,12,Yes
264,57,None,44,40.2,91.9,80,13,No
265,62,Conservative,51,47.4,69,52.8,16,No
266,36,Conservative,40,51,36.3,18.2,12,No
268,45,None,65,52.8,40.9,35.1,12,No
269,75,Conservative,88,35,99.2,60.1,14,No
270,66,Conservative,59,68,89.6,72.1,18,Yes
273,63,Conservative,80,22.8,80.8,52.1,16,Yes
276,53,None,42,39.4,75,61.5,17,Yes
277,10,None,7,42.2,67.7,50,12,Yes
278,62,None,32,52.5,82.7,47.7,13,Yes
279,85,Conservative,48,50,79.5,45.1,16,No
280,75,None,35,32.7,63.4,51,12,No
284,53,None,12,23,80.8,46.5,12,Yes
286,61,None,26,22.7,76.6,60.3,16,Yes
287,54,Conservative,68,26,77.1,89,16,Yes
291,48,None,15,58,66.9,41,13,No
292,19,None,15,49,66,48.6,12,Yes
294,93,Conservative,56,48.4,81.2,47.1,17,Yes
297,13,None,40,30.4,87.1,82.4,12,Yes
