expend,area,region
156.47,Rural,Central Coast
109.03,Rural,Central Coast
138.86,Rural,Central Coast
124.23,Rural,Central Coast
158.07,Rural,Central Coast
135.69,Rural,Central Coast
264.1,Rural,Central Coast
199.72,Rural,Central Coast
76.8,Rural,Central Coast
116.18,Rural,Central Coast
40.39,Rural,Central Coast
169.03,Rural,Central Coast
151.6,Rural,Central Coast
107.56,Rural,Central Coast
161.86,Rural,Central Coast
191.47,Rural,Central Coast
82.25,Rural,Central Coast
177.54,Rural,Central Coast
132.39,Rural,Central Coast
154.29,Rural,Central Coast
74.34,Rural,Central Coast
159.9,Rural,Central Coast
256.83,Rural,Central Coast
149.23,Rural,Central Coast
158.53,Rural,Central Coast
88.83,Rural,Central Coast
135.35,Rural,Central Coast
101.73,Rural,Central Coast
113.41,Rural,Central Coast
86.31,Rural,Central Coast
143.19,Rural,Central Coast
57.2,Rural,Central Coast
103.35,Rural,Central Coast
173.75,Rural,Central Coast
91.15,Rural,Central Coast
87.71,Rural,Central Coast
85.5,Rural,Central Coast
112.15,Rural,Central Coast
89.61,Rural,Central Coast
175.2,Rural,Central Coast
121.55,Rural,Central Coast
103.14,Rural,Central Coast
132.73,Rural,Central Coast
47.63,Rural,Central Coast
58.95,Rural,Central Coast
214.97,Rural,Central Coast
323.26,Rural,Central Coast
231.48,Rural,Central Coast
77.38,Rural,Central Coast
90.16,Rural,Central Coast
331.95,Rural,Central Coast
56.41,Rural,Central Coast
153,Rural,Central Coast
264.76,Rural,Central Coast
220.42,Rural,Central Coast
135.72,Rural,Central Coast
88.37,Rural,Central Coast
182.66,Rural,Central Coast
249.29,Rural,Central Coast
110.39,Rural,Central Coast
94.57,Rural,Central Coast
311.61,Rural,Central Coast
41.37,Rural,Central Coast
83.43,Rural,Central Coast
79.86,Rural,Central Coast
134.74,Rural,Central Coast
74.98,Rural,Central Coast
304.84,Rural,Central Coast
61.65,Rural,Central Coast
157.69,Rural,Central Coast
135.08,Rural,Central Coast
250.67,Rural,Central Coast
153.99,Rural,Central Coast
166.83,Rural,Central Coast
76.58,Rural,Central Coast
41.63,Rural,Central Coast
115.32,Rural,Central Coast
272.63,Rural,Central Coast
123.77,Rural,Central Coast
126.94,Rural,Central Coast
106.6,Rural,Central Coast
86.29,Rural,Central Coast
85.82,Rural,Central Coast
132.21,Rural,Central Coast
351.95,Rural,Central Coast
147.19,Rural,Central Coast
140.98,Rural,Central Coast
289.06,Rural,Central Coast
167.97,Rural,Central Coast
235.25,Rural,Central Coast
168.65,Rural,Central Coast
78.2,Rural,Central Coast
231.2,Rural,Central Coast
153.42,Rural,Central Coast
212.64,Rural,Central Coast
183.97,Rural,Central Coast
165.02,Rural,Central Coast
231.21,Rural,Central Coast
45.06,Rural,Central Coast
120.99,Rural,Central Coast
379.7,Rural,Central Coast
111.3,Rural,Central Coast
118.84,Rural,Central Coast
150.23,Rural,Central Coast
212.27,Rural,Central Coast
94.13,Rural,Central Coast
259.13,Rural,Central Coast
129.9,Rural,Central Coast
138.98,Rural,Central Coast
180.65,Rural,Central Coast
89.8,Rural,Central Coast
326.05,Rural,Central Coast
43.42,Rural,Central Coast
151.46,Rural,Central Coast
129.33,Rural,Central Coast
95.35,Rural,Central Coast
185.06,Rural,Central Coast
53.41,Rural,Central Coast
121.13,Rural,Central Coast
100.42,Rural,Central Coast
476.18,Rural,Central Coast
154.57,Rural,Central Coast
60.4,Rural,Central Coast
139.62,Rural,Central Coast
138.97,Rural,Central Coast
175.08,Rural,Central Coast
142.5,Rural,Central Coast
127.81,Rural,Central Coast
261.98,Rural,Central Coast
158.69,Rural,Central Coast
178.23,Rural,Central Coast
215.35,Rural,Central Coast
147.18,Rural,Central Coast
157.27,Rural,Central Coast
74.95,Rural,Central Coast
386.96,Rural,Central Coast
177.82,Rural,Central Coast
117.52,Rural,Central Coast
122.88,Rural,Central Coast
123.65,Rural,Central Coast
218.12,Rural,Central Coast
134.2,Rural,Central Coast
177.22,Rural,Central Coast
175.64,Rural,Central Coast
136.08,Rural,Central Coast
