id,pre,post,female
1,1.75,3.68,1
2,0.9,3.43,0
3,0.8,2.27,0
4,2.42,4.21,1
5,-1.31,-2.22,0
6,-1.56,2.33,0
7,1.09,2.33,0
8,-1.92,3.04,0
9,-1.61,3.24,0
10,2.47,5.38,1
11,-0.95,1.82,0
12,1.66,2.17,1
13,2.07,4.71,1
14,3.3,7.46,1
15,2.75,5.93,1
16,2.25,4.4,1
17,2.08,3.62,1
18,0.14,2.78,0
19,0.13,3.14,0
20,2.19,2.73,1
21,-0.64,4.09,0
22,2.02,6.01,1
23,2.05,2.49,1
24,1.48,3.88,1
25,1.97,5.62,1
26,1.35,5.24,0
27,-0.56,1.34,0
28,0.26,2.15,0
29,1.22,2.62,1
30,-1.43,1.04,0
31,-1.17,1.42,0
32,1.68,3.3,0
33,-0.47,0.76,0
34,2.18,4.82,1
35,4.21,5.65,1
36,8.26,10.58,1
37,1.24,2.54,1
38,5.94,7.72,1
39,0.87,1.73,1
40,-0.09,3.35,0
41,3.24,4.84,1
42,1.03,2.81,0
43,3.58,5.19,1
44,1.41,3.77,0
45,-0.65,3.53,0
46,1.52,2.63,0
47,0.57,2.41,0
48,2.18,3.34,1
49,1.1,2.96,0
50,0.15,3.5,0
51,-1.27,2.68,0
52,2.81,5.93,1
53,2.26,5.8,1
54,0.11,3.92,0
55,0.61,0.53,0
56,-2.19,1.16,0
57,1.55,2.18,1
58,-0.04,2.61,0
59,3.1,3.91,1
60,-0.29,1.86,0
61,2.28,3.89,1
62,2.57,4.98,1
63,-2.19,2.31,0
64,-0.04,2.64,0
